URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,63,31,0.34042552829334544,0.07281177376234564,38.71153846153846,0.21758569299552907,15.571649661813595,38.71153846153846,413,1203,2.2754491017964074,1,5.556962025316456
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,55,36,0.20879120649679994,0.10055248607673758,23.956521739130434,0.13188142770719904,9.635361266735053,23.956521739130434,196,809,1.9463087248322148,6,4.718232044198895
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,34,0.31313130996837063,0.08461538454306376,29.106060606060606,0.20145757418011453,11.72300727209629,29.106060606060606,365,1051,2.200545702592087,2,5.351841028638224
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,55,21,0.44736841516620507,0.07941483795254457,23.592105263157894,0.1399888455103179,9.492837643467285,23.592105263157894,243,943,1.9524564183835182,17,4.780821917808219
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,48,22,0.37142856612244907,0.06060606055358782,29.19402985074627,0.15848670756646216,11.741006623325092,29.19402985074627,295,1034,2.007741935483871,12,4.936998854524628
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,42,22,0.31249999511718757,0.07872078711104455,31.130434782608695,0.1424581005586592,12.509157153266942,31.130434782608695,193,704,1.9663865546218486,18,4.898653998416469
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,25,12,0.35135134185536915,0.07385229526177187,20.166666666666668,0.16056670602125148,8.13089334907517,20.166666666666668,119,441,1.951219512195122,7,4.994645247657296
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0.0,0.0,8.0,0.125,3.25,8.0,1,4,1.6,0,6.2
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,36,13,0.4693877455226991,0.10515021436663044,26.866666666666667,0.12034739454094293,10.794805624483045,26.866666666666667,89,421,1.6911764705882353,2,4.698762035763411
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,63,39,0.23529411534025377,0.07657657651908664,35.31884057971015,0.16536725482150186,14.193683133812662,35.31884057971015,367,1280,2.090909090909091,9,4.809502262443439
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,45,58,-0.12621359100763505,0.07404744782599032,25.625,0.16452328159645233,10.315809312638581,25.625,340,1133,2.0068399452804377,1,4.969045120671564
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,34,19,0.2830188625845498,0.06600249057783003,32.26829268292683,0.20408163265306123,12.988949726231958,32.26829268292683,256,726,2.1137614678899084,8,5.381270903010034
